NAWQA_ID,DATE,TIME,PFAS,PREP_DATE,MTXSPK
NECBSUS3-12,9/5/2019,1113,PFDoA,3/4/2020,85.25
NECBSUS3-13,9/12/2019,1113,PFDoA,3/4/2020,94.625
NECBSUS3-20,8/20/2019,1113,PFDoA,3/4/2020,100.125
NECBSUS3-21,8/22/2019,1113,PFDoA,3/4/2020,89.875
NECBSUS3-25,8/21/2019,1113,PFDoA,3/4/2020,91.875
NECBSUS3-26,9/10/2019,1113,PFDoA,3/4/2020,90.625
STRVPAS2-01,8/5/2019,1013,PFDoA,3/4/2020,86
STRVPAS2-02,8/5/2019,1513,PFDoA,3/4/2020,92.875
STRVPAS2-03,8/6/2019,1013,PFDoA,3/4/2020,85.25
STRVPAS2-04,8/6/2019,1513,PFDoA,3/4/2020,91
STRVPAS2-05,8/7/2019,1113,PFDoA,3/4/2020,84.875
NECBSUS3-06,7/31/2019,1113,PFHpA,3/4/2020,91.5
NECBSUS3-08,8/8/2019,1113,PFHpA,3/10/2020,83.6625
NECBSUS3-09,8/14/2019,1113,PFHpA,3/4/2020,94.125
NECBSUS3-10,8/15/2019,1113,PFHpA,3/4/2020,96.5
NECBSUS3-11,9/3/2019,1113,PFHpA,3/4/2020,90
NECBSUS3-12,9/5/2019,1113,PFHpA,3/4/2020,88.5
NECBSUS3-13,9/12/2019,1113,PFHpA,3/4/2020,94.2625
NECBSUS3-20,8/20/2019,1113,PFHpA,3/4/2020,101
NECBSUS3-21,8/22/2019,1113,PFHpA,3/4/2020,89.875
NECBSUS3-25,8/21/2019,1113,PFHpA,3/4/2020,94.625
NECBSUS3-26,9/10/2019,1113,PFHpA,3/4/2020,92.66
STRVPAS2-01,8/5/2019,1013,PFHpA,3/4/2020,88.375
STRVPAS2-02,8/5/2019,1513,PFHpA,3/4/2020,92.625
STRVPAS2-03,8/6/2019,1013,PFHpA,3/4/2020,86.5
STRVPAS2-04,8/6/2019,1513,PFHpA,3/4/2020,96.125
