NAWQA_ID,DATE,TIME,TURB-RMK,TURB-VA,O2-RMK,O2-VA,PH-RMK,PH-VA,SC-RMK,SC-VA,CA-RMK,CA-VA,MG-RMK,MG-VA,BR-RMK,BR-VA,CL-RMK,CL-VA,SO4-RMK,SO4-VA,TDS-RMK,TDS-VA,NH4-RMK,NH4-VA,NO3-RMK,NO3-VA,ON-RMK,ON-VA,TN-RMK,TN-VA,OP-RMK,OP-VA,DOC-RMK,DOC-VA,B-RMK,B-VA,CR-RMK,CR-VA,FE-RMK,FE-VA,MN-RMK,MN-VA,U-RMK,U-VA,V-RMK,V-VA,3H-RMK,3H-VA,3H_CSU-RMK,3H_CSU-VA,3H_SSCL-RMK,3H_SSCL-VA
NECBLUSRC1-10,6/12/2019,1300,,3.1,,0.3,,6.6,,2330.0,,60.7,,8.96,,0.364,,648.0,,31.0,,1350,,4.07,<,0.04,<,0.67,,4.74,<,0.02,,12.3,,42,<,1.5,,59200.0,,7480.0,,0.095,,0.99,,4.58,(,0.12,,0.07
NECBLUSRC1-11,6/13/2019,1100,,35.0,,2.0,,5.8,,573.0,,19.8,,2.25,,0.044,,140.0,,24.0,,324,<,0.01,,2.94,<,0.13,,3.06,,0.013,,1.37,,20,<,0.5,<,10.0,,3.34,<,0.03,<,0.1,,4.37,(,0.12,,0.06
NECBLUSRC1-12,6/17/2019,1100,,1.5,,1.9,,5.6,,175.0,,7.07,,2.7,,0.03,,34.5,,12.0,,100,<,0.01,,1.18,<,0.05,,1.23,,0.008,,1.14,,13,,0.61,<,10.0,,2.0,<,0.03,,0.39,,3.82,(,0.1,,0.05
NECBLUSRC1-13,6/17/2019,1300,,0.5,,8.2,,5.5,,109.0,,4.75,,2.82,,0.035,,21.2,,8.02,,70,<,0.01,,0.708,<,0.03,,0.74,,0.015,,0.55,,12,<,0.5,<,10.0,,7.38,<,0.03,<,0.1,,3.65,(,0.11,,0.05
NECBLUSRC1-14,6/18/2019,1100,,11.0,,5.4,,5.6,,148.0,,1.2,,0.375,,0.019,,32.3,,7.5,,85,<,0.01,,0.078,<,0.08,,0.16,<,0.004,,2.42,,7,,1.1,<,10.0,,8.93,,0.046,,0.24,,4.53,(,0.11,,0.04
NECBLUSRC1-16,6/19/2019,1100,,5.7,,8.7,,5.0,,285.0,,1.99,,1.01,,0.028,,70.9,,8.38,,155,<,0.01,,2.84,<,0.04,,2.88,<,0.004,,0.89,,6,<,0.5,<,10.0,,34.1,<,0.03,<,0.1,,3.46,(,0.11,,0.06
NECBLUSRC1-17,6/20/2019,1100,,1.0,,5.5,,4.7,,517.0,,7.83,,3.1,,0.045,,142.0,,9.55,,269,<,0.01,,1.67,,,,1.61,,0.009,,0.88,,15,<,0.5,<,10.0,,762.0,<,0.03,,0.15,,3.62,(,0.08,,0.04
NECBLUSRC1-20,6/25/2019,1300,,19.0,,7.6,,5.6,,173.0,,2.86,,2.26,,0.013,,41.1,,9.19,,96,<,0.01,,0.486,<,0.15,,0.63,,0.007,,1.31,,6,,1.3,<,10.0,,2.62,<,0.03,<,0.1,,3.67,,0.08,,0.06
NECBLUSRC1-21,6/26/2019,1100,,10.0,,4.4,,5.2,,531.0,,19.5,,4.12,,0.088,,114.0,,16.2,,329,<,0.01,,15.0,,,,14.5,,0.005,,0.67,,78,<,0.5,<,10.0,,339.0,<,0.03,<,0.1,,3.34,,0.1,,0.08
NECBLUSRC1-22,6/26/2019,1300,,520.0,,9.6,,5.7,,80.0,,4.8,,2.33,,0.013,,7.17,,11.2,,49,<,0.01,,2.42,,,,2.41,<,0.004,,0.75,,6,,1.5,,100.0,,7.24,<,0.03,,0.1,,3.7,,0.1,,0.06
