NAWQA_ID,DATE,TIME,TURB-RMK,TURB-VA,O2-RMK,O2-VA,PH-RMK,PH-VA,SC-RMK,SC-VA,CA-RMK,CA-VA,MG-RMK,MG-VA,BR-RMK,BR-VA,CL-RMK,CL-VA,SO4-RMK,SO4-VA,TDS-RMK,TDS-VA,NH4-RMK,NH4-VA,NO3-RMK,NO3-VA,ON-RMK,ON-VA,TN-RMK,TN-VA,OP-RMK,OP-VA,DOC-RMK,DOC-VA,B-RMK,B-VA,CR-RMK,CR-VA,FE-RMK,FE-VA,MN-RMK,MN-VA,U-RMK,U-VA,V-RMK,V-VA,3H-RMK,3H-VA,3H_CSU-RMK,3H_CSU-VA,3H_SSCL-RMK,3H_SSCL-VA
MIAMSUS1-01,8/21/2019,1200,,0.2,,3.3,,7.0,,870.0,,84.7,,29.9,,0.03,,77.5,,21.1,,463,<,0.01,,3.02,<,0.15,,3.17,<,0.004,,0.5,,35,<,0.5,<,10.0,,0.46,,1.17,,0.13,,4.76,,0.24,,0.14
MIAMSUS1-02,7/1/2019,1100,,0.1,,9.6,,7.1,,662.0,,86.3,,31.7,,0.02,,18.3,,21.6,,353,<,0.01,,7.31,<,0.31,,7.62,,0.012,,0.41,,16,<,0.5,<,10.0,<,0.4,,0.56,,0.11,,4.64,,0.23,,0.12
MIAMSUS1-05,7/10/2019,1100,,0.4,,0.2,,7.0,,739.0,,105.0,,39.9,,0.017,,13.8,,83.3,,452,<,0.01,<,0.038,<,0.05,,0.05,,0.006,,0.39,,12,<,0.5,,201.0,,85.3,,1.94,<,0.1,,3.49,,0.21,,0.14
MIAMSUS1-06,7/11/2019,1100,,0.3,,0.1,,7.1,,744.0,,84.8,,30.9,,0.028,,54.9,,22.1,,382,<,0.01,<,0.04,<,0.05,<,0.05,<,0.004,,0.55,,31,<,0.5,,988.0,,333.0,,1.57,<,0.1,,4.87,,0.24,,0.13
MIAMSUS1-07,7/15/2019,1100,,0.4,,0.05,,7.0,,693.0,,95.0,,38.0,,0.018,,20.0,,59.2,,407,<,0.01,<,0.04,<,0.05,<,0.05,<,0.004,E,0.49,,22,<,0.5,,528.0,,37.7,,1.22,<,0.1,,4.64,,0.24,,0.14
MIAMSUS1-08,7/17/2019,1100,,0.2,,5.8,,6.8,,1100.0,,110.0,,40.0,,0.032,,100.0,,26.4,,630,<,0.01,,4.44,,,,4.24,,0.005,,0.72,,55,<,1.0,<,10.0,<,0.8,,0.85,<,0.2,,4.47,,0.24,,0.14
MIAMSUS1-09,7/22/2019,1100,,0.2,,5.2,,7.3,,470.0,,62.9,,20.8,,0.049,,13.1,,22.1,,255,,0.01,,0.47,,0.004,,0.49,,0.005,,0.37,,22,<,0.5,<,10.0,,4.75,,0.388,<,0.1,,5.74,,0.26,,0.13
MIAMSUS1-11,7/24/2019,1200,,0.3,,0.1,,7.1,,890.0,,93.9,,30.5,,0.041,,116.0,,45.2,,471,<,0.01,<,0.04,<,0.05,<,0.05,,0.008,,0.32,,17,<,0.5,,1630.0,,182.0,,0.499,<,0.1,,3.4,,0.2,,0.13
MIAMSUS1-13,7/29/2019,1100,,6.5,,0.2,,7.1,,971.0,,99.7,,42.3,,0.098,,87.2,,30.7,,548,,0.04,,0.571,,0.03,,0.65,,0.007,,1.22,,36,<,0.5,,2000.0,,133.0,,0.248,<,0.1,,4.97,,0.24,,0.12
MIAMSUS1-14,7/30/2019,1200,,0.1,,5.2,,7.0,,779.0,,97.6,,33.5,,0.023,,39.5,,25.4,,402,<,0.01,,4.42,,,,4.29,<,0.004,,0.41,,35,<,0.5,<,10.0,<,0.4,,0.618,<,0.1,,6.23,,0.29,,0.14
MIAMSUS1-16,8/1/2019,1100,,0.3,,4.4,,6.8,,1030.0,,114.0,,37.8,,0.038,,98.8,,25.5,,556,<,0.01,,1.42,<,0.03,,1.45,,0.008,,0.71,,25,<,1.0,<,10.0,<,0.8,,0.939,<,0.2,,4.76,,0.23,,0.12
MIAMSUS1-17,8/5/2019,1100,,0.2,,1.0,,7.0,,817.0,,90.7,,30.2,,0.032,,54.1,,47.7,,467,<,0.01,,1.05,<,0.14,,1.19,<,0.004,,0.7,,41,<,0.5,<,10.0,,1.61,,2.23,<,0.1,,4.74,,0.23,,0.13
MIAMSUS1-18,8/6/2019,1000,,0.1,,6.3,,7.0,,781.0,,100.0,,37.5,,0.034,,22.0,,57.6,,461,<,0.01,,11.7,<,1.8,,13.5,<,0.004,,0.4,,16,<,0.5,<,10.0,<,0.4,,0.858,<,0.1,,4.7,,0.23,,0.13
MIAMSUS1-19,8/7/2019,1000,,1.0,,0.2,,7.1,,738.0,,88.7,,31.5,,0.04,,43.2,,45.4,,415,<,0.01,<,0.04,<,0.05,<,0.05,<,0.004,,0.68,,34,<,0.5,,232.0,,145.0,,2.36,<,0.1,,5.35,,0.25,,0.13
MIAMSUS1-20,8/8/2019,1200,,0.2,,0.1,,6.9,,852.0,,0.538,,0.233,<,0.02,,37.0,,60.3,,526,<,0.01,<,0.04,<,0.05,<,0.05,,0.005,,0.47,,15,<,0.5,,15.9,,1.46,,2.5,<,0.1,,4.59,,0.23,,0.13
MIAMSUS1-23,8/14/2019,1100,,0.2,,0.8,,7.0,,788.0,,103.0,,36.2,,0.046,,32.7,,67.8,,465,<,0.01,,6.23,,,,6.03,,0.004,,0.85,,33,<,0.5,<,10.0,,3.49,,1.3,<,0.1,,4.06,,0.22,,0.14
MIAMSUS1-25,9/23/2019,1100,,0.2,,0.2,,6.9,,889.0,,109.0,,40.6,<,0.02,,52.2,,47.2,,499,<,0.01,<,0.04,<,0.05,<,0.05,,0.006,,0.48,,23,<,0.5,,514.0,,64.1,,1.67,<,0.1,,3.7,,0.2,,0.13
MISESUS4-01,5/7/2019,1200,,1.5,,0.01,,8.0,,414.0,,0.51,,0.24,E,0.03,,6.23,,0.02,,286,,0.41,<,0.04,<,0.05,,0.46,,0.51,,0.82,,133,<,0.5,,443.0,,12.4,<,0.03,<,0.1,,0.14,,,,
MISESUS4-02,5/29/2019,1300,,2.0,,0.1,,5.8,,108.0,,6.95,,2.93,,0.04,,3.85,,2.29,,83,<,0.01,<,0.04,<,0.05,<,0.05,<,0.004,<,0.23,,6,<,0.5,,3190.0,,20.9,<,0.03,<,0.1,R,-0.04,,0.13,,0.13
MISESUS4-04,6/12/2019,1100,,0.1,,7.3,,5.6,,174.0,,7.69,,2.95,,0.18,,21.2,,1.36,,116,<,0.01,,5.91,<,0.05,,5.96,,0.005,,0.44,<,5,<,0.5,<,10.0,,0.63,<,0.03,,0.15,,1.02,,0.13,,0.1
MISESUS4-05,6/12/2019,1400,,0.1,,5.1,,5.5,,38.0,,2.53,,0.95,,0.01,,1.56,,0.76,,26,<,0.01,,0.06,<,0.02,,0.08,,0.004,,0.3,<,5,<,0.5,<,10.0,<,0.4,<,0.03,<,0.1,R,-0.04,,0.13,,0.13
MISESUS4-07,7/16/2019,1130,,1.0,,6.6,,5.0,,78.0,,2.46,,1.27,,0.032,,8.9,,6.07,,61,<,0.01,,2.14,<,0.05,,2.18,,0.007,<,0.23,<,5,<,0.5,<,10.0,,25.1,,0.191,<,0.1,,1.68,,0.18,,0.16
MISESUS4-08,7/16/2019,1445,,1.0,,6.8,,5.5,,80.0,,3.72,,1.5,,0.06,,9.65,,0.27,,70,<,0.01,,0.79,<,0.03,,0.82,,0.01,E,0.27,<,5,<,0.5,<,10.0,,0.5,<,0.03,<,0.1,,1.59,,0.17,,0.14
MISESUS4-09,7/17/2019,1100,,1.0,,6.0,,5.7,,86.0,,5.35,,2.04,,0.03,,3.93,,6.02,,68,<,0.01,,0.17,,,,0.17,,0.004,,0.29,<,5,<,0.5,<,10.0,<,0.4,,0.03,<,0.1,,0.18,,0.14,,0.14
MISESUS4-11,8/29/2019,1100,,3.5,,0.1,,8.0,,245.0,,0.48,,0.21,<,0.01,,1.2,,12.0,,157,,0.6,<,0.04,<,0.08,,0.68,,0.06,,0.31,,27,<,0.5,,61.3,,2.07,<,0.03,<,0.1,R,-0.14,,0.11,,0.11
MISESUS4-12,5/9/2019,1100,,,,7.3,,5.4,,38.0,,2.01,,0.678,,0.035,,2.39,,0.32,,58,<,0.01,,0.75,<,0.04,,0.79,,0.005,<,0.23,<,5,<,0.5,<,10.0,<,0.4,<,0.03,<,0.1,,0.26,,0.1,,0.1
MISESUS4-14,5/8/2019,1000,,,,3.8,,5.9,,89.0,,5.75,,2.35,,0.086,,6.94,,2.44,,62,<,0.01,,0.175,,,,0.18,<,0.004,<,0.23,,6,<,0.5,<,10.0,,0.74,<,0.03,<,0.1,R,-0.04,,0.12,,0.12
MISESUS4-15,5/8/2019,1430,,,,7.6,,5.8,,88.0,,3.67,,1.36,<,0.01,,16.4,,2.97,,103,<,0.01,,1.36,<,0.08,,1.44,<,0.004,<,0.23,<,5,<,0.5,<,10.0,<,0.4,<,0.03,<,0.1,,0.37,,0.11,,0.1
MISESUS4-17,6/4/2019,1530,,,,7.6,,5.5,,40.0,,2.46,,0.98,,0.02,,2.51,,1.39,,47,<,0.01,,1.0,,,,0.96,<,0.004,,0.29,<,5,<,0.5,<,10.0,,0.95,<,0.03,,0.1,,1.42,,0.16,,0.13
MISESUS4-19,6/5/2019,1600,,,,4.5,,5.8,,43.0,,2.92,,1.12,,0.02,,1.41,,1.09,,38,<,0.01,,0.073,,,,0.05,<,0.004,,0.35,<,5,<,0.5,<,10.0,,0.79,<,0.03,<,0.1,R,0.06,,0.12,,0.12
MISESUS4-20,6/6/2019,1130,,,,5.5,,5.7,,33.0,,2.14,,0.846,,0.012,,0.95,,1.49,<,30,<,0.01,,0.049,,,<,0.05,<,0.004,,0.24,<,5,<,0.5,<,10.0,,0.58,<,0.03,<,0.1,R,0.12,,0.13,,0.13
MISESUS4-21,6/11/2019,1000,,,,8.8,,5.8,,110.0,,5.57,,2.04,,0.068,,11.6,,5.86,,75,<,0.01,,2.72,,,,2.64,,0.009,,0.32,,11,<,0.5,<,10.0,,0.59,<,0.03,<,0.1,,2.01,,0.14,,0.09
MISESUS4-22,6/12/2019,1030,,,,6.0,,5.8,,79.0,,4.01,,1.54,,0.06,,5.47,,3.46,,50,<,0.01,,0.776,,,,0.77,<,0.004,<,0.23,,5,<,0.5,<,10.0,<,0.4,<,0.03,<,0.1,,0.18,,0.1,,0.1
MISESUS4-23,6/12/2019,1400,,,,0.2,,5.8,,50.0,,3.12,,1.2,,0.024,,1.69,,2.69,,38,<,0.01,<,0.04,<,0.05,<,0.05,<,0.004,<,0.23,<,5,<,0.5,,530.0,,3.08,<,0.03,<,0.1,R,-0.06,,0.1,,0.1
